name,UMI_double,UMI_first,UMI_second,coef_first,coef_second,corr_first,corr_first_second,corr_fit,corr_second,corr_sum,dcor,dcor_first,dcor_second,dcor_singles,de_double,de_first,de_second,mad_explained,partial_dcor_first,partial_dcor_second,residual_dcor,rlm_coef_first,rlm_coef_second,rlm_mad_explained,rlm_residual_dcor,score,sum_residual_dcor,ts_coef_first,ts_coef_second,ts_linear_dcor,ts_mad_explained,ts_residual_dcor,ts_score,ts_ratio,ts_difference,abs_log_ts_ratio,ts_norm,rlm_ratio,abs_log_rlm_ratio,rlm_norm,coef_ratio,coef_norm,min_partial,partial_ratio,rlm_norm2,ts_norm2,coef_norm2,ts_max_coef,ts_min_coef,ts_frac,emap,fitness,UMI_deviation
CEBPE_SPI1,7469.125714285714,12149.167019027484,12152.258928571428,1.7796732342094927,0.5286322328381033,0.9302781823119977,0.7554633618905501,0.9423894174545894,0.8373403504491855,0.9318366221732735,0.8546690004732325,0.8459306757459468,0.7626695818302854,0.7242558287766343,3.434888120867316,3.258397804095509,3.2713768718940743,0.495612364405985,0.5908839079814321,0.34636536155405107,0.3984235274859659,1.2793721710751371,0.4795455261758676,0.5692172219030365,0.31503718341314424,0.8803285958832571,0.32711681374233476,1.296935667503635,0.43892825765216825,0.8717110713047553,0.5683527169391551,0.32711654086485276,0.8248279355388247,2.9547782465429706,0.8580074098514667,0.4705248930289523,0.8679319625779016,2.6678846975749755,0.4261670560207428,0.8794588486255024,3.3665620892143515,1.154152733523798,0.34636536155405107,0.2319677089743584,1.36629318368965,1.3691968963624872,1.8565260187126587,1.296935667503635,0.43892825765216825,0.3827406173427695,-0.647642771548,-0.6099028714535,-4681.587259513741
CNN1_MAPK1,12634.655384615386,13734.631355932206,13065.419947506562,0.47285656659438696,0.6733243189515072,0.2638720204879337,-0.00973567334930635,0.8572813252670968,0.760481429155379,0.8406799679904735,0.7120529984240347,0.330292696537892,0.6951023322944596,0.1416849342436124,2.833784374656479,2.03342375548695,2.790988475088816,0.44233152975452705,0.11265837164424691,0.48287839340579086,0.13059429216407997,0.5659219521900037,0.7291923420294864,0.4498047401229627,0.12401551681623249,0.7274954781395488,0.5053553952180551,0.5168548921174559,0.7268699993847324,0.800364940449719,0.4489334227382672,0.11685478663288348,0.7223365622728759,0.7110692318501985,-0.21001510726727646,0.14808811298787342,0.6218624457510942,0.7760942066601126,0.11008555844620045,0.647557147109745,0.7022716294143566,0.5730904427729471,0.11265837164424691,0.6320743034637317,0.923032571280663,0.8918962806914871,0.8227751643450008,0.7268699993847324,0.5168548921174559,0.16410967567233709,2.7448133234900003,-0.134848983186325,-765.3702671039991
CNN1_UBASH3A,10354.791666666668,13734.631355932206,14870.698412698413,2.710958962605311,0.5077901993227673,0.7565052529696932,0.3505178794669296,0.7597213770175949,0.31589819779537687,0.7305840485727361,0.600296594937875,0.558470472705539,0.45925185054713225,0.3348135600583523,3.158060793936605,2.03342375548695,0.6989700043360189,0.0596309569449478,0.29277638525552313,0.18679636847460335,0.5322300494434214,1.1561460518396682,1.4042794912221568,0.23510469806779488,0.2152017244038486,0.5760107223304799,0.22307077125080063,1.1729340163797768,1.3944866019453686,0.6253937115777127,0.23546915555723413,0.21645283790521133,0.4209102375737906,0.8411224709821403,-0.22155258556559176,0.07514076448827585,1.2837103091625726,0.8233019559613907,0.08444085281120553,1.2802127715309126,5.338738254934577,1.6093745809640392,0.18679636847460335,0.19516761567710073,1.8189762457634273,1.8221874463912693,2.7581061225881647,1.3944866019453686,1.1729340163797768,0.36057648790696895,-12.6225264475,-0.43529224454975,-3947.873217648641
DUSP9_ETS2,11765.28653295129,11420.060422960725,13646.32012195122,0.7839760148647512,0.2518381834591814,0.9422708461463952,0.13353210888810302,0.955385428737897,0.1224669153755746,0.9059793897187821,0.8634084203854292,0.8798325078679861,0.2750025406392808,0.17749573195947344,3.2626883443016963,3.318689269947746,2.6273658565927325,0.6444510578760541,0.7734781460502198,0.08056213375157284,0.11676213990544207,0.7774299389558831,0.23271921761073575,0.6448737636881154,0.111627881677996,0.9119425830840623,0.6233768277609105,0.7458486190740578,0.2511652958505792,0.9020216209305904,0.6425666276382664,0.13075625170768823,0.9098030822023303,2.9695528458588116,0.4946833232234786,0.4726910583420043,0.49850695746231843,3.3406348944343427,0.5238290132026227,0.5050745782833094,3.1130148895464065,0.5179070991619663,0.08056213375157284,0.9823170872679299,0.811514352448742,0.7870032836109312,0.8234323667012592,0.7458486190740578,0.2511652958505792,0.15144194638421302,5.739285369609998,-0.297321371649,-767.9037395046835
DUSP9_IGDCC3,11007.87306501548,11420.060422960725,14162.7533632287,0.9621370587395184,0.6937071878796965,0.8980010301026004,0.40161215563360103,0.9498052969832507,0.7210863014460406,0.947415772232122,0.8533892448878385,0.8247842137956014,0.6028649384099727,0.40806198629902024,3.245018870737753,3.318689269947746,2.4800069429571505,0.5947093310303992,0.6737012257909799,0.34512735529421307,0.2647995023134185,0.8731731906868485,0.5872285734300702,0.6097117116318473,0.15462139742752548,0.9014195398367139,0.4951947059801427,0.8723736982839713,0.5583576981045157,0.8920981070054037,0.6092812681043464,0.15996744431588383,0.8873142057299318,1.562392174846807,0.3140160001794555,0.1937900551457976,0.7153656981942436,1.4869392093551284,0.17229321359169894,0.7302008820584593,1.3869498191020233,0.8279221233096075,0.34512735529421307,0.29048795408117545,1.052268415560862,1.0357601983520253,1.1861439129869058,0.8723736982839713,0.5583576981045157,0.18744956685844857,-2.85559618857,-0.5808497899689999,-1783.533828079233
DUSP9_KLF1,12910.534375000001,11420.060422960725,16965.726708074537,1.210400252270537,1.0614925007535545,0.5999827055432491,-0.08754142523514803,0.682218060087635,0.4234763457858603,0.6814956397913272,0.7676683094774942,0.7550371261940358,0.34098278439735946,0.15767780364671097,2.9057958803678687,3.318689269947746,2.6263403673750423,0.3816163298887181,0.5736827628703255,0.12046357881096753,0.48809149823402903,0.8623100916298132,0.6216306049314486,0.48174241555160946,0.2148742668939217,0.46341057204549485,0.30882314889525364,0.8600661541952304,0.5488293968834363,0.8446210396526448,0.4784890199992553,0.23108126126745474,0.4050280220786931,1.5670919944871253,0.311236757311794,0.1950944920176715,0.7044477755393334,1.3871744486018445,0.1421310806126544,0.7419703482806309,1.1402814917781074,1.1359463765120457,0.12046357881096753,0.6778160397402423,1.0630161349264908,1.0202585439365899,1.6099177307715493,0.8600661541952304,0.5488293968834363,0.3010170648111525,-8.27938267895,-0.33877281767025,-1282.3591905176309
DUSP9_MAPK1,13607.44939271255,11420.060422960725,13065.419947506562,0.39536211484045886,0.27515516354476105,0.6889139042364525,0.08392965059138405,0.8053785706101633,0.3590581567407559,0.7930908193836997,0.6417889044373879,0.6084578965510749,0.37170424741391456,0.1603029207511272,2.037426497940624,3.318689269947746,2.790988475088816,0.34823828331801054,0.3689001796400629,0.13742155711123477,0.12508107571191718,0.3990650500032909,0.254588155114158,0.34910556526295744,0.1258160748348091,0.6373842968846546,0.764786539983055,0.390445231220546,0.22762556957962868,0.7199771637456577,0.34836127361037006,0.1372604332070382,0.6322414256097263,1.7152960097655428,0.1628196616409173,0.23433907733195591,0.3090354004000873,1.567492603198091,0.19520550012614651,0.3268266025587244,1.4368696910757521,0.33525863919260995,0.13742155711123477,0.42885400152713904,0.4733582605791935,0.451952296718709,0.48168616948845894,0.390445231220546,0.22762556957962868,0.21387162080554348,10.972949605799998,-0.19491968688499997,1364.7092074789052
DUSP9_PRTG,11112.5,11420.060422960725,14082.033783783785,0.8218383155540999,0.9689472694791266,0.8580784650185668,0.42652634905594816,0.9538602087955618,0.8399157331595476,0.9528178607379996,0.8408741451637136,0.7774005618566852,0.671179328405232,0.43165103262313975,3.142389466118836,3.318689269947746,2.5390760987927767,0.5726725510905692,0.5922850040232047,0.4296447039942519,0.29442764053852777,0.7472665493656234,0.7875616757154813,0.5912081548219699,0.1625263154421122,0.9095651862926974,0.495992125668135,0.7416866586607461,0.7685789875690661,0.8803157786710851,0.590313788743371,0.16562462774526698,0.8884194447136413,0.9650103251022025,-0.02689232890831994,0.015468039909137364,0.7551328231149061,0.9488355927004057,0.022809032428954774,0.7674141125405524,0.8481765122222724,0.8953927925166132,0.4296447039942519,0.13942127410175154,1.0856614061744032,1.068088367022145,1.2705420213215521,0.7685789875690661,0.7416866586607461,0.19696720216438665,-0.274218251411,-0.532375717973,-1638.5471033722552
DUSP9_SNAI1,9051.970238095239,11420.060422960725,12942.962500000001,0.8305007274849127,1.380247467067139,0.5871793026785195,0.2837054588180811,0.8262947329309306,0.6793672414645376,0.806636143983244,0.7447784311279698,0.5928038787481045,0.6696735523648957,0.2766446362404867,3.2975416678181597,3.318689269947746,2.305351369446624,0.47088341232663733,0.3551625446937197,0.45112990474522996,0.17743387514311237,0.8923022065703212,1.2775885536458684,0.4732016956889692,0.17530954329117693,0.6799920018844565,0.24826467842455702,0.9204034749729532,1.2108867627188211,0.8147069150492912,0.4724379831459662,0.18498868568542595,0.6733246402780955,0.7601069755741306,-0.29048328774586796,0.11912528188745261,1.065645118845887,0.6984268949686099,0.15587904520231113,1.0849453801080948,0.6017042213811321,1.1053740972760258,0.3551625446937197,0.10387445781017195,1.5583439094940519,1.520983007423145,1.6108428007407247,1.2108867627188211,0.9204034749729532,0.248380831068456,-5.10604114542,-0.6739911575485,-3129.5412233851257
ETS2_CEBPE,12600.606250000003,13415.224,10803.070671378091,0.7285599101783669,0.6292444183158757,0.6387070038585484,0.4044915342049694,0.9470159273421036,0.9059993776411149,0.9465752712148604,0.8499203909618561,0.5885769052782515,0.8224375819224685,0.39729299850541366,2.9439888750737717,2.3344537511509307,3.412124406173317,0.5710014500616005,0.3283101729109468,0.6691702282317857,0.3048785319142261,0.6135106202717323,0.5565729080403027,0.5925360723839979,0.14793499274878952,0.8964439603463854,0.8008530403055615,0.5541680233805781,0.5470547983913958,0.8813554586311036,0.5893901487727901,0.16555788195184654,0.8744238732763507,1.0130027650065379,0.007113224989182321,0.005610630775327789,0.550611410885987,1.1023005457306712,0.04230002242565511,0.5850417641560175,1.1578329325960512,0.6789021642471214,0.3283101729109468,0.30925227086526885,0.828352994290867,0.7786983694477521,0.96267755801244,0.5541680233805781,0.5470547983913958,0.19479222255684964,4.0889364297,-0.35748096818724995,491.45891431095697
