,x,y,color,cluster
KLF1_COL2A1,105.93868,102.350624,#dbc957,2
KLF1_FOXA1,106.19292,107.75952,#cccccc,-1
KLF1_MAP2K6,91.201744,103.53242,#57b9db,0
KLF1_NegCtrl0,89.856,103.35281,#57b9db,0
KLF1_TGFBR2,89.2291,103.74202,#57b9db,0
KMT2A_NegCtrl0,109.625946,109.747406,#cccccc,-1
LHX1_ELMSAN1,110.67643,105.593666,#cccccc,-1
LHX1_NegCtrl0,110.6117,106.33154,#cccccc,-1
LYL1_CEBPB,113.40983,101.23008,#cccccc,-1
LYL1_IER5L,111.1626,110.897766,#5f57db,12
LYL1_NegCtrl0,110.82111,114.60548,#cccccc,-1
MAML2_NegCtrl0,92.980484,105.014496,#cccccc,-1
MAP2K3_ELMSAN1,94.33885,104.103035,#c957db,1
MAP2K3_IKZF3,108.50525,107.179726,#84db57,13
MAP2K3_MAP2K6,93.51671,103.40877,#c957db,1
MAP2K3_NegCtrl0,93.08738,104.00349,#c957db,1
MAP2K3_SLC38A2,93.98599,104.64226,#c957db,1
MAP2K6_ELMSAN1,93.30942,103.17592,#c957db,1
MAP2K6_IKZF3,108.3913,107.71878,#84db57,13
MAP2K6_NegCtrl0,93.97025,102.82206,#c957db,1
MAP2K6_SPI1,113.99821,102.99803,#cccccc,-1
MAP4K3_NegCtrl0,108.81633,113.43056,#cccccc,-1
MAP4K5_NegCtrl0,108.16887,114.56005,#cccccc,-1
MAP7D1_NegCtrl0,95.57216,102.72245,#cccccc,-1
MAPK1_IKZF3,107.988556,107.28715,#84db57,13
MAPK1_NegCtrl0,102.96497,101.74503,#db5f57,7
MAPK1_PRTG,100.33792,105.451096,#57dbc9,5
MAPK1_TGFBR2,103.20624,101.79626,#db5f57,7
MEIS1_NegCtrl0,110.16528,109.96414,#cccccc,-1
MIDN_NegCtrl0,112.78136,108.22531,#5f57db,12
NCL_NegCtrl0,107.971924,111.247215,#cccccc,-1
NIT1_NegCtrl0,114.91995,109.94389,#cccccc,-1
NegCtrl0_BAK1,94.285774,103.48322,#cccccc,-1
NegCtrl0_CBARP,106.77369,110.30119,#cccccc,-1
NegCtrl0_CBFA2T3,111.91796,102.69625,#cccccc,-1
NegCtrl0_CDKN1A,105.36248,118.03069,#57db5f,3
NegCtrl0_CDKN1B,103.80084,117.58472,#cccccc,-1
NegCtrl0_CEBPA,115.80879,102.59798,#db9457,6
NegCtrl0_CEBPB,114.58396,101.15969,#db9457,6
NegCtrl0_CEBPE,114.45685,102.272514,#db9457,6
NegCtrl0_CLDN6,107.72606,113.14244,#cccccc,-1
NegCtrl0_CNN1,111.04296,119.3877,#cccccc,-1
NegCtrl0_COL2A1,106.66694,103.16496,#dbc957,2
NegCtrl0_DLX2,111.66516,114.57267,#cccccc,-1
NegCtrl0_ELMSAN1,92.85391,104.031975,#c957db,1
NegCtrl0_ETS2,103.68574,101.454636,#db5f57,7
NegCtrl0_FEV,108.82913,104.71387,#db5784,4
NegCtrl0_FOXA1,116.774704,108.97757,#cccccc,-1
NegCtrl0_FOXF1,115.603004,108.76864,#cccccc,-1
