	b.mean	b.std	a.mean	a.std
AHR_-_17338164.23-P1P2	-0.317009681666	0.0655288924084	-0.36124731605	0.0420121078961
AHR_-_17338168.23-P1P2	-0.290432301687	0.0553070342543	-0.368907420696	0.0508044585533
ARID1A_+_27022167.23-P1P2	-0.383140258023	0.085821084961	-0.432693096847	0.0627435330872
ARID1A_-_27022243.23-P1P2	-0.215339936965	0.031810041907	-0.214915191099	0.0382567993723
ARRDC3_+_90679525.23-P1P2	-0.103000759006	0.02587177805	-0.0991779267058	0.0210535214628
ARRDC3_-_90679309.23-P1P2	-0.161444028942	0.0305233741594	-0.171965725133	0.0345025775362
ATL1_+_50999374.23-P1P2	-0.428467542096	0.0996999544107	-0.459503693869	0.0571211435071
ATL1_-_50999367.23-P1P2	-0.357744249153	0.0751709621795	-0.366174519272	0.0558782680653
BAK1_+_33548177.23-P1P2	-0.345126933763	0.0842781078765	-0.381690768616	0.0565167404487
BAK1_-_33548176.23-P1P2	-0.379104870899	0.0910982532164	-0.417073055471	0.0437471449666
BCL2L11_+_111878321.23-P1	-0.13014528915	0.0366361637512	-0.14720246016	0.042280214347
BCL2L11_-_111878313.23-P1	-0.0629672558777	0.0333340670286	-0.075458819006	0.0285439384973
BCORL1_+_129116278.23-P1P2	-0.0283904808137	0.0320969735138	-0.0270560991985	0.0173095049515
BCORL1_+_129116290.23-P1P2	-0.0857827105884	0.0319438396114	-0.111040238466	0.0234988711943
BCR_-_23522065.23-P1P2	-0.0162705845912	0.0422053229619	-0.0554454933375	0.0423184915391
BCR_-_23522198.23-P1P2	0.0235882235986	0.0451935350612	0.0523514692681	0.0196849868537
BPGM_+_134331304.23-P1P2	-0.098864296252	0.017068613735	-0.0951475588278	0.034571012896
BPGM_+_134331476.23-P1P2	-0.13290500966	0.0295696992096	-0.151855181023	0.0472914052102
C19orf26_+_1238161.23-P1P2	-0.145071246101	0.0214398584284	-0.168225106928	0.0246692738933
C19orf26_+_1238358.23-P1P2	-0.0841415405375	0.037509079184	-0.0843417385981	0.0245997429134
C3orf72_-_138665928.23-P1P2	-0.420157985204	0.101204348488	-0.465307619881	0.0774382933457
C3orf72_-_138665944.23-P1P2	-0.501771807005	0.11770784117	-0.528429780642	0.0508894028496
CBFA2T3_+_89043662.23-P2	-0.177339071424	0.0329046315492	-0.198246727349	0.0433687745151
CBFA2T3_+_89043673.23-P2	-0.140742891519	0.0254795509706	-0.150552069073	0.029205819992
CBL_+_119076546.23-P1P2	-0.128709716075	0.0213653850524	-0.127160513109	0.0168736502592
CBL_-_119076622.23-P1P2	-0.121345672926	0.0208636186313	-0.134099071879	0.0334423708136
CDKN1A_+_36646320.23-P1P2	-0.278414444644	0.0551116338635	-0.305454292386	0.0394649498257
CDKN1A_-_36646141.23-P1P2	-0.158151291143	0.0213117584907	-0.190495961946	0.0300457422727
CDKN1B_+_12869867.23-P1P2	-0.261418295598	0.0571932458087	-0.291077615994	0.0426496162926
CDKN1B_-_12869956.23-P1P2	-0.235254641473	0.0618904789923	-0.265839564962	0.0416290810387
CDKN1C_-_2907198.23-P1P2	-0.386517033595	0.0768254334003	-0.377790921339	0.0674425802113
CDKN1C_-_2907316.23-P1P2	-0.208737061808	0.0413156608357	-0.264517459928	0.0468815313028
CEBPA_+_33793624.23-P1P2	-0.547578100441	0.129378637334	-0.585806230314	0.0631052749843
CEBPA_+_33793774.23-P1P2	-0.68842987631	0.152189110286	-0.722988816149	0.11012068968
CEBPB_+_48807216.23-P1P2	-0.401592069856	0.0966954357842	-0.47029790452	0.051100474094
CEBPB_-_48807249.23-P1P2	-0.134531466686	0.043739135886	-0.17178380535	0.0383902468807
CEBPE_+_23588994.23-P1P2	-0.475805158787	0.106898198898	-0.501553641861	0.0601593545621
CEBPE_-_23589034.23-P1P2	-0.284854015321	0.0513616830941	-0.313336138693	0.0365253250583
CELF2_+_11059740.23-P1P2	-0.178461296118	0.0487982372508	-0.0982004066409	0.0339367398363
CELF2_+_11206754.23-P1P2	-0.0321230457649	0.0386237691107	-0.00399760630388	0.0578511904023
CITED1_+_71526082.23-P1	-0.311660536765	0.0790998702861	-0.365580396031	0.058359448897
CITED1_-_71526062.23-P1	-0.0497901044204	0.036147026803	-0.041489710528	0.0281863502967
CKS1B_-_61808483.23-ENST00000600888.1	-0.15552152184	0.0325257624338	-0.187958482329	0.0462181507147
CLDN6_-_3068282.23-P1P2	-0.247938139034	0.0540616228118	-0.315198363384	0.0505763103335
CLDN6_-_3068298.23-P1P2	-0.18641265244	0.0428004866126	-0.224147891777	0.0319039176229
