	AHR	ARID1A	ARRDC3	ATL1	BAK1	BCL2L11	BCORL1	BCR	BPGM	C19orf26	C3orf72	CBFA2T3	CBL	CDKN1A	CDKN1B	CDKN1C	CEBPA	CEBPB	CEBPE	CELF2	CITED1	CKS1B	CLDN6	CNN1	CNNM4	COL1A1	COL2A1	CSRNP1	DLX2	DUSP9	EGR1	ELMSAN1	ETS2	FEV	FOSB	FOXA1	FOXA3	FOXF1	FOXL2	FOXO4	GCH1	GLB1L2	HES7	HK2	HNF4A	HOXA13	HOXB9	HOXC13	IER5L	IGDCC3	IKZF3	IRF1	ISL2	JUN	KIAA1804	KIF18B	KIF2C	KLF1	KMT2A	LHX1	LYL1	MAML2	MAP2K3	MAP2K6	MAP4K3	MAP4K5	MAP7D1	MAPK1	MCOLN3	MEIS1	MIDN	NCL	NIT1	OSR2	PEG10	PIK3CB	PLEKHO2	PLK4	POU3F2	PRDM1	PRTG	PTPN1	PTPN12	PTPN13	PTPN9	RHOXF2	RREB1	RUNX1T1	S1PR2	SAMD1	SET	SGK1	SLC38A2	SLC4A1	SLC6A9	SNAI1	SPI1	STIL	TBX2	TBX3	TGFBR2	TMEM173	TMSB4X	TP73	TSC22D1	UBASH3A	UBASH3B	ZBTB1	ZBTB10	ZBTB25	ZC3HAV1	ZNF318
AHR	3.25144681371	-1.76493674464	0.750670308198	-0.2377659652	-0.470196301394	0.266426791153	-0.149029668425	-2.8948263293	1.0704243862	0.755252403864	-0.526182966136	-1.46978111414	-1.16572561349	0.658735575308	1.92244375634	-0.478304521625	-1.76615784929	-0.281501748931	-1.20601441696	-1.84214850354	0.282428100502	0.388842211843	1.16046120943	0.529937558586	0.0270739968963	0.461491659565	-0.275082215016	5.15418856021	-0.695934042475	-1.43596443126	-0.0679612529592	-4.71126199744	-3.67567666676	-5.02774293854	-1.89626056277	0.210441757575	-0.519111509175	-1.95881815311	-0.506655058631	0.138163037758	1.11719600203	0.232279717305	0.975733693312	1.72987602943	1.81154323449	-0.424960444631	-0.32840883847	-0.669504537294	-2.39121864702	-1.04013590695	-0.275498343186	-1.5954279197	0.167329117668	-0.393627159853	-0.592537753646	0.425070022184	-0.5297306807	8.10884922316	-1.27328506698	-1.57234005324	0.0251652684492	0.613337747435	0.190863116556	-1.49793127573	1.51097097156	1.82183874167	-0.413924200394	-4.08473959014	-0.21475008134	-2.15915773592	0.961242507743	-2.67746418228	0.1224908183	-0.270872666517	0.960095977775	0.470886789266	0.850613855383	-0.647787026081	-2.74356272638	-0.231565796047	0.0820345863019	0.615079387759	0.921483173096	1.3610658365	-0.211969354856	-1.99921127955	1.33880225711	-1.62782127903	-0.160310751488	-0.932364112667	-0.434959686732	1.48792994307	-2.53649740327	0.451130680264	-1.33383276002	0.314206000457	0.679205550318	0.973803566692	3.68798089043	3.55842179378	-0.167571570584	0.143065951007	0.999352639191	-0.0646462273786	0.742918030537	0.189924149543	-0.70749160344	0.902518404631	0.560174264007	2.8959178174	4.09605760757	-2.2425694648
ARID1A	-1.76493674464	5.85814086245	0.566831367911	-1.05331744503	-1.20347888091	2.40143533152	-1.09068449837	0.586664823985	-1.39878633278	1.02133897513	-0.474317387629	-3.53918580261	0.124589994331	0.290321313204	-0.428562538997	1.17203768636	0.0701113525357	0.829078958692	3.17594176556	1.79341380042	-1.08087397433	-0.400063209676	1.39749622238	1.21352875168	-0.644069201931	1.62102441196	-0.905664200526	0.963667498125	-2.99618423956	1.98020489359	0.42018186565	-1.36665594406	-2.81342307123	0.393242670488	1.39241495613	-1.309492864	-2.17727168815	-2.73248025022	-1.61505106245	1.6325345979	1.19456427453	1.53354949862	-0.0461086848825	1.72947941856	1.89849520672	0.21408328287	-1.82212055998	2.22832311471	1.45071486265	2.24268995494	-1.58944460673	2.38347784132	-1.41689377859	-0.239523868674	0.386482599148	2.89022195639	1.48712853579	2.11836699784	-0.754312944379	-0.700492854424	1.90867049222	1.58613307697	1.78712877971	0.672289950581	-1.48784993283	-0.100084366427	-0.674341521017	-1.77441244938	-0.199624515892	-0.98580890851	-0.261452460803	-3.39280782389	1.13320903019	2.38504873704	-2.71646198412	1.30880670213	0.523743061164	2.91286702906	-1.45666542774	0.102586212392	-2.16357595485	-0.934465933831	-0.568829239108	0.673749769733	-1.15341675612	-0.258936203887	-0.184477565324	-1.4084711999	-1.96764751748	-0.474293239384	0.414759747544	2.02510124815	0.276881520507	-0.736075901878	0.593106914872	-3.70866138936	0.629086724481	1.8178429585	-1.14507034817	-1.73363048524	1.69730979861	0.321472270461	0.248135346283	1.48528755153	-0.34013471356	0.159331325157	-0.962795132463	0.503796491708	-1.02533203537	0.781187922559	0.525223488849	-1.01585038749
ARRDC3	0.750670308198	0.566831367911	0.702131335024	0.878147522545	2.8138674781	0.566638943231	-1.07275746224	-0.451576776428	-0.874086310946	-0.198190062111	-0.230417721358	0.027706499523	0.997376498608	0.0294423097677	0.0842532169456	0.995864646225	3.79683733892	0.489197907867	0.913129885687	0.459236595674	-1.94055773843	0.000167733481658	0.166353500936	1.20313924518	-1.92550861714	0.0709418100925	2.54025056	-0.454918521383	-0.592767487891	-0.575820381072	-1.19891146466	0.0742241309356	-2.5904674558	2.71803721083	0.729955664418	-0.812060102297	-0.828123848908	-1.02002133097	-1.31507830013	0.162499158996	-1.40000756231	-0.733513361354	-0.460240500664	-0.924161845365	-0.152653134318	-0.838303774412	-0.698306743344	2.34179825803	0.197163293509	-0.319093261436	-1.23072382655	-1.63027220769	-0.41341701382	1.19861584215	1.20711342726	1.65682108679	0.759483880809	-0.489500754855	-0.833628952234	-1.15296488744	-0.0879976019087	2.23256035098	0.148970206041	-0.558979233913	-0.998685804349	-2.20895687046	1.74621998156	-2.1582340345	-1.03798855432	-0.393672084114	0.698117496942	-0.50141203988	-1.19038261905	0.479601306997	1.56307535075	0.825901171174	0.0177770348374	1.51620212162	1.55103345212	-3.22144946548	-3.5200574651	0.29056977139	0.951429040769	-1.74796651997	-0.152903528963	0.580157081947	-0.621852267191	-1.67563842872	-2.29739614239	-1.78461577162	-0.730217622186	0.875188819772	8.87183038076	-1.64885615117	2.30640569736	-0.398285827267	-0.0453760475724	-0.167534033203	-2.07037060834	-2.81084101157	0.377627581507	0.913364937948	-0.827863532867	2.95157243017	0.364544282004	-0.103082230704	1.60754157596	0.163387328548	0.661026676791	-0.0460378346263	-3.57931724081	1.48491101881
ATL1	-0.2377659652	-1.05331744503	0.878147522545	5.20449790228	1.06723570099	-0.77073324024	0.366154044539	-1.99169337602	-0.388092535834	-2.26548075179	0.686421542546	-0.0736927928562	-0.230833552443	-0.38917424891	0.963286150891	0.819255765064	0.548554514394	0.427007116828	-0.488533350931	0.741507768028	-0.698553638201	0.201102505325	-0.678293756828	-2.08093058093	-1.31927541292	0.554233116845	0.542178230593	1.50171162247	0.498215224171	0.246682752715	1.71732156761	4.10116038216	0.978474640654	1.04114744567	-0.110446966846	-1.17840959547	-1.32562604878	-1.74790460509	-1.17398130369	1.82433212441	-0.698761728961	0.743053989438	-0.501099547906	-3.1112456986	0.562173800878	-1.02082452748	-0.868985227557	-0.144220852237	0.989862181051	1.13509858333	-0.813521289023	2.99453042528	-0.831537798242	0.154132246309	-0.239799967296	1.66134549704	-0.459115170634	-6.82422637213	1.07983780787	-0.996552540317	-3.41926198931	2.90762505156	2.57319287135	1.8684591944	-2.25121384072	-2.01347252689	-0.329041125666	2.63067652207	1.61755576865	-0.693202371754	0.0887280211581	-3.97784820699	-1.08963666271	-1.03648157494	0.356631728092	0.147935304668	-0.918358953733	0.163962518361	-1.47157176428	0.666941671914	-0.067876145556	-0.0381024686641	0.588971138766	-0.507944651528	-0.471593379612	0.117734170413	-1.0150894145	-1.7653977826	-2.91805324875	2.86751614225	0.96871379104	-1.78237437531	2.80041589072	-0.549451073349	4.34479856688	-1.17411590389	0.716203981591	1.20056296305	-3.93425568268	-3.67304747502	-5.50454924943	-0.1021252577	-2.16823436753	0.514256772567	-3.69987717233	1.0716922235	11.2240594205	-0.602975500362	-1.03669703836	-0.595523560625	0.654820684755	1.684241268
BAK1	-0.470196301394	-1.20347888091	2.8138674781	1.06723570099	2.12530108706	4.40954193222	0.134112675467	-0.688310795576	1.30756403974	0.0261647712927	1.2102620956	-1.25351498758	2.05268206322	0.711160588191	-0.230426799965	1.14587490601	-0.567031642313	0.0487332314692	-1.73946980961	0.664525178459	-0.152336759265	3.58626085232	1.06372175374	4.07732260513	-0.0956918878231	1.33237896479	1.24020624769	-8.34029390372	-1.86557450317	-0.440089865248	2.59740717569	4.64977015076	-3.96197200611	0.775942764707	0.0360487730933	1.60419900314	1.28540447901	0.98971779602	0.415597309974	-0.693655811855	0.488929647879	0.0610385268365	-1.2209162528	-6.50576057162	0.761843721086	-1.10826459619	0.819811785256	-0.105437126674	0.071295172246	0.993966048296	1.08009421847	0.819420884476	-1.03691796123	-1.55606986138	0.947438371526	0.240769536045	-1.63765632968	6.83810642292	2.29690579272	-0.40077638042	-2.41854221106	-1.33364722026	-1.8702335587	-2.79856335163	-0.715309629477	0.942866270328	-4.01800725528	-0.599659761423	-0.170096729706	4.21685760936	-0.670053082024	-0.305995321648	-0.118525093847	-0.550527426499	-5.88800124406	-1.11815902784	-0.682506085281	-0.585651897231	3.58376363659	1.63074290441	1.16568695683	0.53568359009	3.95564521579	0.848437458556	1.23835156214	-0.0937190447967	-0.773761279758	-3.74821048153	3.39677043051	4.22421988798	1.04140774297	-0.257900289163	-3.58727632305	0.837365153713	1.59060369916	0.239128429062	1.83370711504	1.01880954923	-2.60639993844	-3.40186183502	-1.17139309864	0.261206162754	7.68575676939	2.50554129809	3.47155599467	1.16145892974	2.03983733506	1.39391534867	-0.275318502213	6.97240283948	-13.745453686	-1.0393130589
BCL2L11	0.266426791153	2.40143533152	0.566638943231	-0.77073324024	4.40954193222	1.14386333328	-0.4122841682	2.47640581945	-0.853533250719	0.173178537184	-0.566508414928	-1.79220030878	-3.06274729898	1.90891497682	1.48635776905	0.990004960619	-0.973421739879	-0.454389497155	-2.2209319187	-0.992477799389	0.186793467758	2.46130183278	0.103549667466	-2.02431540267	1.64867045329	2.59178900754	-2.97920269755	-3.69060045564	-0.775803051695	1.59844512371	1.47052264818	3.28093198972	-2.3355753685	2.41230055334	-0.555572172672	2.61181432773	2.38380875662	1.62810764343	1.86426883884	1.48900100873	0.245964471112	-0.860354615904	-0.204347337025	-4.38163589762	-0.134516266828	-0.230060794686	1.38786877381	-0.732960566751	0.0336405942685	-1.42824441167	1.06084791291	-4.41388095051	-0.127600030954	-0.917025371406	-0.469524217534	-1.96911552351	0.248926480333	5.32270010164	-0.0625627900454	1.65318530629	0.90839250279	0.930656169411	-3.08562791588	-0.253746206383	2.54594820209	0.431743853219	0.460470478475	-1.05485021182	0.415818953237	2.56589156988	0.995535295813	0.379946230049	-0.329661075622	0.100258499821	-1.141854984	-0.77169567461	0.083240144715	0.460884969098	2.81671956166	1.26951789338	0.558822257404	-1.57164401159	-1.19596784094	0.863965366655	-2.46193151545	0.476176597364	0.611134513609	-1.89089531144	2.44701646661	1.02448171485	1.61619418657	0.664645715647	-0.547036124228	1.16266177128	0.534507417757	-1.09905706075	1.38710048315	1.41570408243	-0.77773473042	-3.75930231337	-8.55924553747	-0.871093289973	2.87009843247	1.23861637422	1.16087928826	-0.700278563418	-2.49088081122	0.157824564592	2.27879610453	0.288250602974	-1.23555140768	1.36740601833
BCORL1	-0.149029668425	-1.09068449837	-1.07275746224	0.366154044539	0.134112675467	-0.4122841682	0.439546142202	0.703613678509	0.0616578157955	2.03624346699	-0.148618214753	-0.488470818206	-0.90721373685	2.73768775016	1.29969548288	0.349947383556	3.82597282321	3.97295295373	5.19893737591	1.31955452504	-0.0865877354443	0.579101603205	1.80027877504	2.39562382519	0.601525532954	2.23605940545	0.867930536315	-0.346551182492	2.55702357632	0.383233550373	-0.866933014489	1.44700836141	-1.41268309911	-5.20496206301	2.43524495128	2.84032718021	2.30371268299	1.63439268825	1.35418083242	-2.29636280704	-0.763089758191	0.625976208985	-1.57763535268	-0.480974388629	0.264963802132	2.46546794778	0.79280400097	-0.698424147997	1.59133619976	-1.65485183063	-4.84134961381	-1.53886189763	-0.142952319247	-0.788592161831	2.0794464269	0.646257807973	0.931158377834	0.298694855401	-0.183339706495	-0.653285866061	1.59777113856	0.82881988054	3.4001338369	3.13972538109	1.70563707728	1.76246116282	0.101462805453	-1.24743852259	0.272749589622	-0.941558145965	0.254387672186	-0.495950627823	1.5283896338	3.41335591241	-1.06403606065	0.243661100604	0.90010529516	1.31242412622	-0.694461705607	-4.29981266964	-2.9924843433	-5.00920483351	-2.33024647492	1.41446577824	-1.69323068766	1.01278882275	2.63842394453	1.04106888603	2.73796583528	1.01076771096	-0.262334171291	1.85219275977	-0.693221124227	-0.549597381381	-0.482355285201	1.63561686869	0.853935672041	0.515499446811	1.2360753412	1.80442069089	-2.08150450978	0.144095624513	0.257955808673	1.00605011572	0.0341357202729	-0.421261423028	-2.07625110885	0.632655624253	2.93276258813	0.507403541089	0.885491329118	-1.65446461783
BCR	-2.8948263293	0.586664823985	-0.451576776428	-1.99169337602	-0.688310795576	2.47640581945	0.703613678509	-2.52744892498	2.1915668147	1.35219288306	-0.981048941757	-1.7773809285	1.88783677617	0.342258924494	-0.571096749432	-0.17348951775	-0.715679833592	0.44115599852	3.16395393976	-0.132680190951	-0.263988605755	1.96060354453	1.72146627133	1.09544159687	0.275509823906	-0.549574113527	-0.739996137717	0.341164332428	-1.45802187363	2.73783358753	0.999401336467	-0.3545372692	-0.722977263769	-3.09372619507	-1.12409447379	-1.16861571153	0.133258606027	-0.940623588569	-0.408526187337	1.68050043749	-0.0727161725859	-0.360880909609	0.527112057676	2.46838877217	-0.215060793914	0.527355765007	-1.98416754659	1.31919440772	0.483595504228	2.35399211944	2.95894439619	-1.07685847224	-3.10294451924	0.131903084487	1.1929165629	-1.04366444622	-1.35146609632	-0.923481784666	0.183816548179	-0.340385428306	2.29282053572	0.601416595879	-0.265572685888	0.254515624719	1.57513488452	0.0506359521715	-3.49783182907	-0.48798800544	-1.10861214206	-0.238803982872	-0.854277960111	1.75250070073	-0.425929017611	-0.700380321184	-1.50438501999	-0.459328197479	1.87958191825	-1.0302058584	0.0792629205412	0.594264976621	1.02536371261	3.2662627786	2.73745782642	0.650344710166	2.8163851034	1.07710629244	-0.357775196109	0.829572303716	0.854309125481	2.06747580538	-0.588341746743	2.64038786136	-0.143023732248	-0.729453956732	0.220589790673	0.188243743225	0.868269067204	-1.73148138126	0.904824751288	1.41405578357	0.0709235181839	-0.462468509212	-0.0286240947542	1.79686013082	0.717884980322	0.926215587171	2.63718587267	1.18983533676	0.790704514028	5.19436816208	0.0489094942856	-0.49057499611
BPGM	1.0704243862	-1.39878633278	-0.874086310946	-0.388092535834	1.30756403974	-0.853533250719	0.0616578157955	2.1915668147	1.42119667895	1.29437119617	0.45706278724	-0.219286370525	-3.55560746684	1.85150599351	1.69273514605	-0.140728569723	4.11466916967	2.23312045067	2.81447678618	1.65154608949	0.98550142899	-0.631541448006	-0.328503978396	-1.70375339124	1.45481545019	0.509376385302	1.53416003528	-0.597467099384	1.83362335624	-0.827551487284	2.20913390118	0.607139913444	1.9588921044	0.835324515295	2.58171675311	0.944324841276	0.930606101773	2.36632306093	2.94010821516	0.365900457836	-0.685978362417	0.448223251655	1.8469426985	-4.07324923496	1.47564165326	1.90975109017	0.995872178097	0.522887759156	0.546128716208	-4.02275203548	-4.16010763167	-1.97187249304	-0.427206355728	-0.150190005439	0.568894089171	2.35820943626	1.16929170162	-0.266441684771	-1.63297326253	0.00910494319846	-1.17524837761	1.67724799711	1.24565720031	1.98844649725	1.13288661676	0.743643903505	2.59696678463	1.36311526716	-0.187055309298	0.957119693905	-0.456590950326	0.83201915084	1.15034301316	2.86907461249	0.818951993193	0.551976882285	0.561277585737	2.36555803585	2.11416329881	-2.22480982815	-1.01571062749	-2.40783992347	-2.99505948641	0.928550017485	-1.34089192085	0.932948354078	2.8933517516	1.18620312818	1.55682991863	0.133637871434	-1.74284595028	0.580861601031	1.61061149955	-0.53981755125	1.7242750019	1.31914179094	0.928384001439	2.87913801693	-0.0105446474864	-1.68502163597	-3.91037835407	0.432498962985	0.90205610039	-0.386830834497	1.06839734132	-1.47067212663	-4.28647445347	-0.165732221495	0.731073853367	-3.10297797444	0.686112880732	0.646589878477
C19orf26	0.755252403864	1.02133897513	-0.198190062111	-2.26548075179	0.0261647712927	0.173178537184	2.03624346699	1.35219288306	1.29437119617	1.3646601988	-0.986378956768	0.0877494665922	-4.21062439136	0.781144394496	2.17519089063	1.72640314916	0.783626342468	1.09265546724	-0.757233225671	0.296592760503	1.15588441897	-0.560553345943	-0.254659638261	-1.53911400501	-0.0326661214294	2.82435565379	-1.82651231756	1.11980373516	-0.0739057095422	-4.23767803764	1.47096648934	1.69714062957	4.18589306266	4.35331950238	-0.107564203792	-3.33263949901	-1.77408655602	-0.590620081276	-0.768320309528	0.63918048589	-0.891271610903	0.00213946546747	0.730785915805	-0.642521949523	2.25688756543	1.93160378582	0.0869899284095	-2.11427645884	0.232984924573	-4.19112035543	-1.9605184366	0.965885826971	-1.8276834033	-1.73136314084	-1.15088422269	2.73652229429	1.39386045888	-7.30818791684	-0.804941468757	1.84302833786	-0.338146625602	0.428303936992	1.8135126507	1.69799102759	-1.41482780034	-0.624128734332	1.94930978714	3.3526930503	-1.3497877205	-1.40287134388	-2.09137476786	-1.13649966333	2.83460784425	1.61671648859	1.77238472983	-1.05157197003	-1.08656214469	1.40638959443	-4.38436974672	-2.60440929098	-2.90398618448	0.746222649721	0.378446244411	0.0691415430523	1.7402191615	-1.51855682982	-0.0882034233878	1.93369001671	-1.13187660557	0.0029426478729	-0.512681427177	-1.9621316424	0.646017140826	-1.41293118321	3.66801353708	-3.5043946202	1.95105551614	2.74805244019	-1.42593163292	-3.81552614957	-7.11554876933	-0.883143349967	1.02478868116	2.5280961145	-0.679721543998	0.12609593626	-0.89995634895	0.739791375037	-3.3666616315	-1.94512449695	4.22050039492	-2.19223448714
