	b.mean	b.std	a.mean	a.std
AHR_-_17338164.23-P1P2	-0.334633011832	0.0525913724016	-0.334633011832	0.0525913724016
AHR_-_17338168.23-P1P2	-0.314756502953	0.0443516767345	-0.314756502953	0.0443516767345
ARID1A_+_27022167.23-P1P2	-0.42399640278	0.0489285376459	-0.42399640278	0.0489285376459
ARID1A_-_27022243.23-P1P2	-0.209550202058	0.0224896951785	-0.209550202058	0.0224896951785
ARRDC3_+_90679525.23-P1P2	-0.0953463945841	0.0234026658659	-0.0953463945841	0.0234026658659
ARRDC3_-_90679309.23-P1P2	-0.135694570096	0.0251080461498	-0.135694570096	0.0251080461498
ATL1_+_50999374.23-P1P2	-0.484729907497	0.0489802562289	-0.484729907497	0.0489802562289
ATL1_-_50999367.23-P1P2	-0.383438324463	0.0414630246317	-0.383438324463	0.0414630246317
BAK1_+_33548177.23-P1P2	-0.43510074226	0.0612302173011	-0.43510074226	0.0612302173011
BAK1_-_33548176.23-P1P2	-0.445299579802	0.0505068106424	-0.445299579802	0.0505068106424
BCL2L11_+_111878321.23-P1	-0.153801353713	0.0323886409837	-0.153801353713	0.0323886409837
BCL2L11_-_111878313.23-P1	-0.072917738155	0.0287445018391	-0.072917738155	0.0287445018391
BCORL1_+_129116278.23-P1P2	0.00134611802455	0.0172800961473	0.00134611802455	0.0172800961473
BCORL1_+_129116290.23-P1P2	-0.0891962874892	0.030994783947	-0.0891962874892	0.030994783947
BCR_-_23522065.23-P1P2	-0.048115512721	0.029166962201	-0.048115512721	0.029166962201
BCR_-_23522198.23-P1P2	0.0305293620208	0.0137412319113	0.0305293620208	0.0137412319113
BPGM_+_134331304.23-P1P2	-0.0966534886019	0.0156448215252	-0.0966534886019	0.0156448215252
BPGM_+_134331476.23-P1P2	-0.140655259493	0.022500771835	-0.140655259493	0.022500771835
C19orf26_+_1238161.23-P1P2	-0.174981984086	0.017224514237	-0.174981984086	0.017224514237
C19orf26_+_1238358.23-P1P2	-0.082819038864	0.025405366859	-0.082819038864	0.025405366859
C3orf72_-_138665928.23-P1P2	-0.514754193832	0.0511619319884	-0.514754193832	0.0511619319884
C3orf72_-_138665944.23-P1P2	-0.580250941051	0.0690177802837	-0.580250941051	0.0690177802837
CBFA2T3_+_89043662.23-P2	-0.188057322523	0.0357903949233	-0.188057322523	0.0357903949233
CBFA2T3_+_89043673.23-P2	-0.129191752875	0.0221302635497	-0.129191752875	0.0221302635497
CBL_+_119076546.23-P1P2	-0.112755961677	0.0176680035282	-0.112755961677	0.0176680035282
CBL_-_119076622.23-P1P2	-0.120490822317	0.0259494061874	-0.120490822317	0.0259494061874
CDKN1A_+_36646320.23-P1P2	-0.292593464643	0.0300344254682	-0.292593464643	0.0300344254682
CDKN1A_-_36646141.23-P1P2	-0.164186868869	0.0176522679731	-0.164186868869	0.0176522679731
CDKN1B_+_12869867.23-P1P2	-0.268840016882	0.0535630282202	-0.268840016882	0.0535630282202
CDKN1B_-_12869956.23-P1P2	-0.247960990955	0.0378521691518	-0.247960990955	0.0378521691518
CDKN1C_-_2907198.23-P1P2	-0.430063405471	0.0601734636101	-0.430063405471	0.0601734636101
CDKN1C_-_2907316.23-P1P2	-0.253312941961	0.0467717883639	-0.253312941961	0.0467717883639
CEBPA_+_33793624.23-P1P2	-0.611502564591	0.0576603409813	-0.611502564591	0.0576603409813
CEBPB_+_48807216.23-P1P2	-0.499777463686	0.0415709340114	-0.499777463686	0.0415709340114
CEBPB_-_48807249.23-P1P2	-0.170318805829	0.0438388713741	-0.170318805829	0.0438388713741
CEBPE_+_23588994.23-P1P2	-0.528594500486	0.0447991258266	-0.528594500486	0.0447991258266
CEBPE_-_23589034.23-P1P2	-0.329207971551	0.0311740783965	-0.329207971551	0.0311740783965
CELF2_+_11059740.23-P1P2	-0.142714658422	0.0563079593147	-0.142714658422	0.0563079593147
CELF2_+_11206754.23-P1P2	0.000612880939073	0.0187353717191	0.000612880939073	0.0187353717191
CITED1_+_71526082.23-P1	-0.35762753496	0.041957503978	-0.35762753496	0.041957503978
CITED1_-_71526062.23-P1	-0.0509715711855	0.024389017845	-0.0509715711855	0.024389017845
CKS1B_-_61808483.23-ENST00000600888.1	-0.15478772403	0.0293670772248	-0.15478772403	0.0293670772248
CLDN6_-_3068282.23-P1P2	-0.327951071223	0.0369452265419	-0.327951071223	0.0369452265419
CLDN6_-_3068298.23-P1P2	-0.219098041459	0.0453631795515	-0.219098041459	0.0453631795515
CNN1_+_11649447.23-P1	-0.105335172689	0.0415010048133	-0.105335172689	0.0415010048133
CNN1_-_11649410.23-P1	-0.0864751913238	0.0323986464196	-0.0864751913238	0.0323986464196
CNNM4_-_97426363.23-P1P2	-0.177349064765	0.0218979427653	-0.177349064765	0.0218979427653
CNNM4_-_97426428.23-P1P2	-0.0998316006872	0.0218465632226	-0.0998316006872	0.0218465632226
COL1A1_-_48279241.23-P1P2	-0.403938945271	0.0403927431958	-0.403938945271	0.0403927431958
COL2A1_+_48398427.23-P1P2	-0.359275685677	0.0369553068463	-0.359275685677	0.0369553068463
COL2A1_+_48398512.23-P1P2	-0.351529262513	0.037676628894	-0.351529262513	0.037676628894
CSRNP1_+_39196217.23-P1P2	0.0978302094742	0.0122976231661	0.0978302094742	0.0122976231661
CSRNP1_-_39196126.23-P1P2	0.0922725149951	0.0196871829532	0.0922725149951	0.0196871829532
DLX2_-_172967775.23-P1P2	-0.136270548887	0.0207194136391	-0.136270548887	0.0207194136391
DLX2_-_172967845.23-P1P2	-0.266034942515	0.0306097474087	-0.266034942515	0.0306097474087
DUSP9_+_152912501.23-P1	-0.368244203784	0.0304474940276	-0.368244203784	0.0304474940276
DUSP9_+_152912564.23-P1	-0.349286521075	0.0268622189406	-0.349286521075	0.0268622189406
EGR1_+_137800818.23-P1	-0.183666204626	0.0262501214138	-0.183666204626	0.0262501214138
EGR1_-_137801018.23-P1	-0.0752590924295	0.0207086942209	-0.0752590924295	0.0207086942209
ELMSAN1_+_74227119.23-P1	0.0257298861738	0.0156056350319	0.0257298861738	0.0156056350319
ELMSAN1_-_74227099.23-P1	0.0392455966801	0.011401345454	0.0392455966801	0.011401345454
ETS2_+_40177604.23-P1P2	-0.139450075996	0.0210104730714	-0.139450075996	0.0210104730714
ETS2_-_40177491.23-P1P2	-0.105032525218	0.0212192690125	-0.105032525218	0.0212192690125
FEV_+_219850595.23-P1P2	-0.173857814257	0.0241208906014	-0.173857814257	0.0241208906014
FOSB_+_45971009.23-P1	-0.157563850563	0.040933347516	-0.157563850563	0.040933347516
FOSB_-_45971150.23-P1	-0.150245267544	0.025235880062	-0.150245267544	0.025235880062
FOXA1_-_38064459.23-P1P2	-0.197435940697	0.0255487577813	-0.197435940697	0.0255487577813
FOXA1_-_38064583.23-P1P2	-0.297737546762	0.0421322191007	-0.297737546762	0.0421322191007
FOXA3_+_46367435.23-P1P2	-0.383880344689	0.0395364841503	-0.383880344689	0.0395364841503
FOXA3_-_46367354.23-P1P2	-0.12409495263	0.0225153476913	-0.12409495263	0.0225153476913
FOXF1_+_86544016.23-P1P2	-0.340259332781	0.0238486178898	-0.340259332781	0.0238486178898
FOXF1_-_86543821.23-P1P2	-0.105836504146	0.024074979823	-0.105836504146	0.024074979823
FOXL2_+_138666046.23-P1P2	-0.403064770932	0.0534884306834	-0.403064770932	0.0534884306834
FOXL2_+_138666114.23-P1P2	-0.143844088084	0.0266990833749	-0.143844088084	0.0266990833749
FOXO4_-_70315829.23-P1P2	-0.447208837737	0.0381856695383	-0.447208837737	0.0381856695383
FOXO4_-_70315963.23-P1P2	-0.474399016517	0.0364999042557	-0.474399016517	0.0364999042557
GCH1_-_55369782.23-P1P2	0.0502187048058	0.0193114851953	0.0502187048058	0.0193114851953
GCH1_-_55369897.23-P1P2	0.0183771413116	0.0201778990832	0.0183771413116	0.0201778990832
GLB1L2_+_134201608.23-P1P2	-0.00967231353748	0.0187252788756	-0.00967231353748	0.0187252788756
GLB1L2_+_134201679.23-P1P2	-0.126720490209	0.0375311881478	-0.126720490209	0.0375311881478
HES7_-_8027539.23-P1P2	-0.490347859099	0.0471913483614	-0.490347859099	0.0471913483614
HK2_+_75060993.23-P1P2	-0.089942242656	0.016998000611	-0.089942242656	0.016998000611
HK2_+_75061007.23-P1P2	-0.0829329880567	0.016880923631	-0.0829329880567	0.016880923631
HNF4A_+_43029788.23-P1P2	-0.464726679045	0.0442667113797	-0.464726679045	0.0442667113797
HNF4A_-_43029858.23-P1P2	-0.310302704058	0.0451937660122	-0.310302704058	0.0451937660122
HOXA13_+_27239889.23-P1P2	-0.665643329821	0.0686706011255	-0.665643329821	0.0686706011255
HOXA13_+_27240051.23-P1P2	-0.451209872561	0.048111658572	-0.451209872561	0.048111658572
HOXB9_+_46704211.23-P1P2	-0.232216015493	0.0416833390956	-0.232216015493	0.0416833390956
HOXB9_-_46704088.23-P1P2	-0.11092778551	0.0311902846299	-0.11092778551	0.0311902846299
HOXC13_+_54332230.23-P1P2	-0.544289483214	0.0358344276295	-0.544289483214	0.0358344276295
HOXC13_-_54332182.23-P1P2	-0.432528704136	0.0392669794592	-0.432528704136	0.0392669794592
IER5L_+_131940706.23-P1P2	-0.343937551485	0.0218644182435	-0.343937551485	0.0218644182435
IER5L_+_131940785.23-P1P2	-0.354080590456	0.0532714134298	-0.354080590456	0.0532714134298
IGDCC3_+_65670566.23-P1P2	-0.322239477111	0.041599681179	-0.322239477111	0.041599681179
IGDCC3_-_65670556.23-P1P2	-0.26113817419	0.0197004356729	-0.26113817419	0.0197004356729
IKZF3_-_38020553.23-P1P2	-0.434639433229	0.0318490269577	-0.434639433229	0.0318490269577
IKZF3_-_38020571.23-P1P2	-0.5037225023	0.0359030593855	-0.5037225023	0.0359030593855
IRF1_+_131826642.23-P1P2	-0.20842651454	0.0424138002374	-0.20842651454	0.0424138002374
IRF1_-_131826619.23-P1P2	-0.0332428844559	0.0217757440955	-0.0332428844559	0.0217757440955
ISL2_-_76628853.23-P1P2	-0.14046278586	0.0318246093822	-0.14046278586	0.0318246093822
JUN_+_59249990.23-P1P2	-0.365085507331	0.0339894003992	-0.365085507331	0.0339894003992
JUN_-_59249929.23-P1P2	-0.181086022058	0.021364970051	-0.181086022058	0.021364970051
KIAA1804_-_233463315.23-P1P2	-0.324620901687	0.0308372935743	-0.324620901687	0.0308372935743
KIAA1804_-_233463431.23-P1P2	-0.248472506305	0.0384987182665	-0.248472506305	0.0384987182665
KIF18B_-_43025293.23-P1P2	-0.233208055685	0.0230768727956	-0.233208055685	0.0230768727956
KIF18B_-_43025338.23-P1P2	-0.206519548154	0.0406941027646	-0.206519548154	0.0406941027646
