	b.mean	b.std	a.mean	a.std
AHR_-_17338164.23-P1P2	-0.325045898425	0.048065215257	-0.357164793267	0.0411245187642
AHR_-_17338168.23-P1P2	-0.303797216355	0.0424047903973	-0.349423743639	0.0432939484698
ARID1A_+_27022167.23-P1P2	-0.396726939701	0.0444737430427	-0.447156119308	0.0575466830243
ARID1A_-_27022243.23-P1P2	-0.217406284538	0.0223793078074	-0.215157703995	0.0217242752174
ARRDC3_+_90679525.23-P1P2	-0.0976627766523	0.0262443343244	-0.0999134108221	0.0166200528991
ARRDC3_-_90679309.23-P1P2	-0.150120449561	0.0204493686733	-0.157249639061	0.0248131050106
ATL1_+_50999374.23-P1P2	-0.448623331455	0.0520076210117	-0.494934512399	0.041988522356
ATL1_-_50999367.23-P1P2	-0.384869984651	0.0454407362618	-0.375281558036	0.0310305140072
BAK1_+_33548177.23-P1P2	-0.390409241546	0.061904174792	-0.419698272532	0.0535886501695
BAK1_-_33548176.23-P1P2	-0.420271651033	0.0538789406914	-0.433243705768	0.0499558695786
BCL2L11_+_111878321.23-P1	-0.137237787595	0.0378634082744	-0.158975106025	0.0306357221458
BCL2L11_-_111878313.23-P1	-0.0621450009373	0.0289858216899	-0.077580988751	0.0240804098049
BCORL1_+_129116278.23-P1P2	-0.00997944825068	0.0193463332203	-0.0141969054209	0.014637084793
BCORL1_+_129116290.23-P1P2	-0.0816650993338	0.029789783213	-0.106567930402	0.0248946867459
BCR_-_23522065.23-P1P2	-0.0153403681628	0.0288487707788	-0.0631167936963	0.0338602591014
BCR_-_23522198.23-P1P2	0.0303841272643	0.0188117750227	0.041765443741	0.0149012360279
BPGM_+_134331304.23-P1P2	-0.0930147144697	0.011546628203	-0.104933957876	0.0183150571027
BPGM_+_134331476.23-P1P2	-0.132662520318	0.0270760623804	-0.147127491102	0.0252904670232
C19orf26_+_1238161.23-P1P2	-0.154923900968	0.0163799934616	-0.180113380622	0.0146389646386
C19orf26_+_1238358.23-P1P2	-0.0803165184053	0.0317405316885	-0.0867345332441	0.0213476943097
C3orf72_-_138665928.23-P1P2	-0.466969752734	0.0454671966242	-0.507013477044	0.0501152031097
C3orf72_-_138665944.23-P1P2	-0.54668186028	0.0615852353802	-0.563786712917	0.0425180562335
CBFA2T3_+_89043662.23-P2	-0.174737755206	0.0356386665082	-0.203162111058	0.0377704497575
CBFA2T3_+_89043673.23-P2	-0.139029461723	0.0230071735108	-0.139501075623	0.0149320195323
