	b.mean	b.std	a.mean	a.std
AHR_-_17338164.23-P1P2	-0.330863940799	0.0455108433979	-0.36429141892	0.0428458038333
AHR_-_17338168.23-P1P2	-0.302514735487	0.0375966637126	-0.374414178596	0.0497418947739
ARID1A_+_27022167.23-P1P2	-0.401403222246	0.0571799238225	-0.438370090211	0.0624266231694
ARID1A_-_27022243.23-P1P2	-0.222416213118	0.0234801681167	-0.22361135983	0.0263318673227
ARRDC3_+_90679525.23-P1P2	-0.102587756628	0.0257928945736	-0.101871829153	0.0210501154136
ARRDC3_-_90679309.23-P1P2	-0.16492724456	0.0303268463522	-0.178423792493	0.0291427632059
ATL1_+_50999374.23-P1P2	-0.449752325257	0.0650591036212	-0.467903547457	0.051778234723
ATL1_-_50999367.23-P1P2	-0.374314146118	0.0480842886579	-0.379112290331	0.034282530757
BAK1_+_33548177.23-P1P2	-0.360855676368	0.0652677602198	-0.389157867269	0.0529601471038
BAK1_-_33548176.23-P1P2	-0.397098809314	0.0664079821596	-0.419332744685	0.0450290895372
BCL2L11_+_111878321.23-P1	-0.131541922115	0.0378367732847	-0.153281157699	0.039322175615
BCL2L11_-_111878313.23-P1	-0.0598853532911	0.0295562495572	-0.0737311497756	0.0268202629467
BCORL1_+_129116278.23-P1P2	-0.0230034598895	0.0194076470845	-0.0280414835027	0.0178234565982
BCORL1_+_129116290.23-P1P2	-0.0842218383159	0.0308961632501	-0.113851646176	0.023536636329
BCR_-_23522065.23-P1P2	-0.0100755705855	0.0315220690935	-0.0506077276906	0.036073063882
BCR_-_23522198.23-P1P2	0.0324404914835	0.0227867827651	0.0507999264855	0.0203115244785
BPGM_+_134331304.23-P1P2	-0.0981755296904	0.0156668231184	-0.104414837797	0.0163473061101
BPGM_+_134331476.23-P1P2	-0.134485623992	0.0305232075698	-0.143783879864	0.0311599054573
C19orf26_+_1238161.23-P1P2	-0.147462942862	0.0217331885159	-0.172647652145	0.0222773990672
C19orf26_+_1238358.23-P1P2	-0.0824712569282	0.0368312991036	-0.0859927686428	0.0253743579218
C3orf72_-_138665928.23-P1P2	-0.440888797906	0.07002768276	-0.477569273985	0.0669702522128
