	AHR	ARID1A	ARRDC3	ATL1	BAK1	BCL2L11	BCORL1	BCR	BPGM	C19orf26	C3orf72	CBFA2T3	CBL	CDKN1A	CDKN1B	CDKN1C	CEBPA	CEBPB	CEBPE	CELF2	CITED1	CKS1B	CLDN6	CNN1	CNNM4	COL1A1	COL2A1	CSRNP1	DLX2	DUSP9	EGR1	ELMSAN1	ETS2	FEV	FOSB	FOXA1	FOXA3	FOXF1	FOXL2	FOXO4	GCH1	GLB1L2	HES7	HK2	HNF4A	HOXA13	HOXB9	HOXC13	IER5L	IGDCC3	IKZF3	IRF1	ISL2	JUN	KIAA1804	KIF18B	KIF2C	KLF1	KMT2A	LHX1	LYL1	MAML2	MAP2K3	MAP2K6	MAP4K3	MAP4K5	MAP7D1	MAPK1	MCOLN3	MEIS1	MIDN	NCL	NIT1	OSR2	PEG10	PIK3CB	PLEKHO2	PLK4	POU3F2	PRDM1	PRTG	PTPN1	PTPN12	PTPN13	PTPN9	RHOXF2	RREB1	RUNX1T1	S1PR2	SAMD1	SET	SGK1	SLC38A2	SLC4A1	SLC6A9	SNAI1	SPI1	STIL	TBX2	TBX3	TGFBR2	TMEM173	TMSB4X	TP73	TSC22D1	UBASH3A	UBASH3B	ZBTB1	ZBTB10	ZBTB25	ZC3HAV1	ZNF318	negative
AHR	-0.41397648464	-0.545311454052	-0.409792837058	-0.569600795641	-0.563096314527	-0.390893916396	-0.361435208949	-0.390068682134	-0.365286156524	-0.414273298267	-0.614415748767	-0.506587715708	-0.467549351433	-0.429571980186	-0.3985535569	-0.508377436863	-0.668322448728	-0.509139588968	-0.592228394028	-0.421021249982	-0.442633950213	-0.408320208998	-0.451595343721	-0.395094027502	-0.415941223228	-0.511176099186	-0.53484173584	-0.14310098203	-0.479084447403	-0.582297333625	-0.398275235899	-0.347459314432	-0.493441376625	-0.577088329365	-0.486033913679	-0.500383287105	-0.512673784483	-0.54851274242	-0.507073150865	-0.552944258579	-0.307601296086	-0.389090711744	-0.528230611853	-0.358605559068	-0.457583468748	-0.606705936953	-0.483357755584	-0.6052407678	-0.600291591952	-0.552574006748	-0.585986112112	-0.47390181476	-0.461839752992	-0.526587714287	-0.53750083062	-0.442826207398	-0.414427092303	-0.0371926420608	-0.419080409083	-0.540403918639	-0.370142695982	-0.239931280941	-0.239306745611	-0.251852705128	-0.351532401986	-0.350367854321	-0.411522040759	-0.498618935107	-0.369811726533	-0.502773428585	-0.475130845805	-0.482427267838	-0.545003961344	-0.4415771173	-0.402503010874	-0.34824649125	-0.478415204095	-0.424896838363	-0.582546299764	-0.58071937183	-0.512414885811	-0.478256615982	-0.354758224986	-0.391443939232	-0.390123520952	-0.626674435571	-0.429688063593	-0.382546389048	-0.413017377366	-0.485809065352	-0.469878477031	-0.383933593242	-0.348182597635	-0.543258675153	-0.364629110114	-0.535572397704	-0.540756927391	-0.441847760337	-0.248937213713	-0.294042827946	-0.411088527214	-0.349172489184	-0.304747337024	-0.586556687403	-0.387367383897	-0.399568459883	-0.429297624399	-0.404948781632	-0.550600415715	-0.305265639062	-0.0997697309024	-0.441418196649	-0.333857912921
ARID1A	-0.545311454052	-0.432051709986	-0.397390842678	-0.560885387803	-0.57495644839	-0.346923808814	-0.349261083836	-0.304790699378	-0.411210893527	-0.400001654421	-0.587238712757	-0.502207452659	-0.423776327011	-0.430379309503	-0.463724805276	-0.455813508333	-0.554820834568	-0.456033845118	-0.461359706676	-0.329155095541	-0.45575354748	-0.417036861843	-0.453131340565	-0.38207905114	-0.414429968398	-0.482740544198	-0.539571976716	-0.184870161525	-0.487116345572	-0.481480296846	-0.376516547441	-0.280092937541	-0.439126823011	-0.443584756475	-0.387170813514	-0.505967809984	-0.495489470393	-0.502653688663	-0.493552352682	-0.518705470602	-0.291048168991	-0.353122510638	-0.556193031472	-0.356810329648	-0.48047420191	-0.572089512255	-0.473081508751	-0.518377210051	-0.484331126794	-0.464321103423	-0.590833540199	-0.39459429497	-0.467958434632	-0.502557250314	-0.49475185209	-0.405928855229	-0.353501572118	-0.139658210624	-0.389778456543	-0.472731319486	-0.329651552759	-0.219768994575	-0.190308093447	-0.204532895353	-0.388766295665	-0.379209414256	-0.391506058372	-0.417512498179	-0.349092156928	-0.445012797217	-0.480213870037	-0.447728196198	-0.509497278103	-0.357456162693	-0.415381783025	-0.309272200605	-0.488744682785	-0.345467747128	-0.497424602727	-0.562928174737	-0.545102139392	-0.488954733265	-0.361991543915	-0.392799096442	-0.383066261876	-0.532442006899	-0.45065685129	-0.35599464574	-0.443454379148	-0.465369430458	-0.442283538272	-0.358591307827	-0.29430465635	-0.551192310817	-0.32758084064	-0.600014230293	-0.548208428091	-0.42405260596	-0.347109742163	-0.393065480239	-0.359813782595	-0.332360777952	-0.309371467282	-0.551558578622	-0.384824190567	-0.377656440363	-0.413617946029	-0.408829028964	-0.569559246118	-0.334982982152	-0.13528664262	-0.396699088451	-0.319111761885
ARRDC3	-0.409792837058	-0.397390842678	-0.242385919969	-0.465945771402	-0.411395362054	-0.219497543221	-0.184744152178	-0.133393246677	-0.252306522052	-0.251732119906	-0.549536446139	-0.296186076427	-0.241501657302	-0.328829467504	-0.362278588999	-0.385676405216	-0.485585561035	-0.383510381051	-0.451474868415	-0.192838688474	-0.344893982189	-0.279877580292	-0.36102647605	-0.20493828024	-0.285456690788	-0.455454890674	-0.383638501277	-0.018318304002	-0.320963343222	-0.439684670365	-0.257580244007	-0.0749411658768	-0.282291535293	-0.2628263178	-0.250743426198	-0.372996878472	-0.365908404144	-0.353682527284	-0.388211943804	-0.490586642911	-0.117628149686	-0.217574151538	-0.523287834783	-0.219304320634	-0.444030429663	-0.564889518229	-0.311393942399	-0.472726779477	-0.428407377508	-0.39637985041	-0.527540054016	-0.290594748376	-0.280347637092	-0.352388094009	-0.360675604483	-0.299098579285	-0.210635080892	0.0323325452671	-0.223147267696	-0.345898810798	-0.194643124948	-0.0236190765965	-0.0377571020252	-0.0320808446902	-0.2150258099	-0.248824684282	-0.204635835938	-0.263995235906	-0.166904055387	-0.268767972923	-0.366028525528	-0.233256441907	-0.509413713903	-0.250752582877	-0.209765585166	-0.143746184158	-0.398014895353	-0.215706136595	-0.303870374911	-0.570694724837	-0.471360255077	-0.365315105237	-0.181039569337	-0.311265669866	-0.216063167119	-0.432973673872	-0.341675392779	-0.198357644828	-0.315216558067	-0.373926766088	-0.321194623422	-0.225959594631	-0.00903296194884	-0.510434562898	-0.133316610629	-0.436967328406	-0.505644086569	-0.346181609612	-0.206496240305	-0.262425112074	-0.182223952688	-0.131789833123	-0.16133118345	-0.517882820977	-0.204763199899	-0.218754408951	-0.218964703629	-0.268161830777	-0.473207614382	-0.181463252905	-0.0188221679031	-0.173358137624	-0.126236569024
ATL1	-0.569600795641	-0.560885387803	-0.465945771403	-0.396526564597	-0.524427123242	-0.486325274689	-0.409638585638	-0.430093855805	-0.465905745075	-0.547774447977	-0.565183026368	-0.515427706534	-0.506010848808	-0.501190203602	-0.467982528053	-0.487286144999	-0.569768799753	-0.519461092346	-0.59296902241	-0.427208852884	-0.528707539078	-0.466016091568	-0.563704534278	-0.546708199767	-0.516272898783	-0.526914976751	-0.539783906574	-0.283834396574	-0.500531919989	-0.565856646296	-0.431487596218	-0.324486343786	-0.444774235422	-0.501015825398	-0.491474681738	-0.590827979533	-0.578346375754	-0.586568484384	-0.563008073913	-0.51499315765	-0.423257219183	-0.459914532935	-0.587984732782	-0.510119572011	-0.530366109058	-0.626016420813	-0.554594796424	-0.590506364679	-0.530822566237	-0.513794410789	-0.60495310655	-0.450068046338	-0.544739259923	-0.551531063515	-0.558439914512	-0.47151892024	-0.483605449417	-0.432767182015	-0.452748869527	-0.565725867656	-0.490987436627	-0.311944684	-0.314795657536	-0.309404290286	-0.507740213988	-0.523038602761	-0.48277496346	-0.397063152033	-0.425949677399	-0.532445320802	-0.53924312528	-0.581477034332	-0.609940080865	-0.537983812938	-0.481265873698	-0.436317837885	-0.579575109794	-0.483427502406	-0.591456895922	-0.55384064035	-0.548914504834	-0.520672973282	-0.433191561358	-0.514087694253	-0.465727772703	-0.56158840462	-0.555967436398	-0.454492570512	-0.547969458585	-0.465523274391	-0.489942558606	-0.51548896171	-0.380283724246	-0.585162945686	-0.331476329744	-0.61337912865	-0.548231886366	-0.479913379784	-0.501978043461	-0.536515661583	-0.576123040484	-0.437422065936	-0.442111169663	-0.559400126548	-0.531230852177	-0.450996870538	-0.30350804657	-0.510435134257	-0.610713547223	-0.441508174829	-0.235209789584	-0.471158440754	-0.425927346635
BAK1	-0.563096314527	-0.57495644839	-0.411395362054	-0.524427123242	-0.454516432797	-0.297722930658	-0.40145191007	-0.421505340338	-0.417128714454	-0.486695452783	-0.542799953283	-0.539140361973	-0.440740886391	-0.457476800713	-0.489777941076	-0.45166472841	-0.635570448377	-0.518111216965	-0.630081153364	-0.430214964494	-0.505197499651	-0.327451248416	-0.478271686877	-0.300079569628	-0.471462656516	-0.479028524303	-0.498005344445	-0.400528285337	-0.548216284374	-0.57242220403	-0.38577201506	-0.304986756507	-0.558008403845	-0.494868358477	-0.476248752624	-0.480959974986	-0.490744324411	-0.498915375152	-0.510967951119	-0.582888354115	-0.402044713775	-0.461071557578	-0.610118191574	-0.555300080706	-0.512818578574	-0.649361824832	-0.483212083205	-0.591757119484	-0.539868508075	-0.499847080176	-0.544343681472	-0.440959312289	-0.541906105471	-0.593877262962	-0.503591052231	-0.505285929135	-0.503451783703	-0.170696878873	-0.421808869885	-0.535196011806	-0.457105314464	-0.356004796685	-0.383283830366	-0.361595398252	-0.463779698143	-0.432554629396	-0.54522175572	-0.470451066027	-0.448374474669	-0.40695445367	-0.55565220972	-0.488669910908	-0.564363213796	-0.506172089501	-0.552346198041	-0.457137111282	-0.55762845935	-0.483613497984	-0.432867089371	-0.526105067788	-0.500834088656	-0.496697181229	-0.381326087066	-0.442743486467	-0.425668481727	-0.559850999853	-0.532954079098	-0.469934234214	-0.355003496849	-0.41663705118	-0.465643058147	-0.469069498404	-0.451793057709	-0.536608226126	-0.370046504988	-0.553464760126	-0.49190877701	-0.460366587746	-0.470222867776	-0.521454459714	-0.495827732694	-0.424671171375	-0.259236760102	-0.495328580055	-0.41335743275	-0.437948802654	-0.44000809007	-0.440965671552	-0.584340224448	-0.292402379119	-0.411658766492	-0.488991726808	-0.41590571772
BCL2L11	-0.390893916396	-0.346923808814	-0.219497543221	-0.486325274689	-0.297722930658	-0.173861589718	-0.152868432554	-0.0537100137154	-0.227531597968	-0.222419301639	-0.556523218841	-0.314265417053	-0.296720068838	-0.25947988817	-0.285882630488	-0.351136070702	-0.611740275728	-0.381486356018	-0.513505143969	-0.196083295576	-0.278711418372	-0.183092347294	-0.333259898334	-0.264680676676	-0.191465317598	-0.348571805568	-0.483460261419	-0.0454390305127	-0.309280030511	-0.375345392081	-0.178504104269	-0.0167792633403	-0.266345755184	-0.234649673073	-0.263004178198	-0.256127746352	-0.266042680461	-0.273344958494	-0.285364788392	-0.435802753151	-0.0850292009187	-0.1968463841	-0.50280461092	-0.250839367524	-0.425714825754	-0.555745929325	-0.234281033622	-0.529364788458	-0.407681604413	-0.394985680519	-0.466335159378	-0.33733911692	-0.254831821859	-0.373411804516	-0.373984758968	-0.332301685534	-0.193869657492	0.136637338118	-0.19135936462	-0.256678918257	-0.158575231171	-0.020939344732	-0.0842785170529	-0.0186230064696	-0.129802671858	-0.181431322479	-0.197041118151	-0.241009492217	-0.12552698773	-0.188339069589	-0.329095114031	-0.195890326522	-0.479063296821	-0.224852960068	-0.219009633632	-0.152973589071	-0.372282424687	-0.212886717326	-0.238279799397	-0.466320497993	-0.368242755967	-0.383830242991	-0.184515161257	-0.22891630421	-0.232380161504	-0.408259884232	-0.283091791006	-0.186591962581	-0.188809478615	-0.312633058309	-0.241728616171	-0.20733677502	-0.0891088568385	-0.429450657112	-0.135731752181	-0.431034878779	-0.443031229851	-0.270963650397	-0.160492398093	-0.277328203353	-0.302023089771	-0.139096913891	-0.0852157019752	-0.539057559122	-0.172638245047	-0.206793577896	-0.262318900457	-0.229524795374	-0.412727024146	-0.156886845395	0.012266441505	-0.137982080642	-0.108984720827
BCORL1	-0.361435208949	-0.349261083836	-0.184744152178	-0.409638585638	-0.40145191007	-0.152868432554	-0.0882256473672	-0.0448819891244	-0.150548905707	-0.139570855665	-0.523815113539	-0.2178574467	-0.18599837935	-0.212384833259	-0.255124790704	-0.327878663039	-0.493409408729	-0.253087916597	-0.32787901079	-0.0897873343188	-0.235864975633	-0.186201318074	-0.249803185909	-0.0898210380845	-0.167727348914	-0.339149268283	-0.343136252928	0.0404541239894	-0.187315218169	-0.350006660249	-0.175681719983	0.00379024094645	-0.189696553208	-0.304687681201	-0.143269545581	-0.218931973209	-0.239262172468	-0.230770953246	-0.273684725314	-0.47810569413	-0.0387325812073	-0.110087238314	-0.503190920354	-0.137282195763	-0.36943530265	-0.477990609784	-0.205655799595	-0.495966238464	-0.334739651561	-0.340440974244	-0.53416868268	-0.187537090599	-0.186869173839	-0.313379351729	-0.27300394033	-0.235267343934	-0.133303733206	0.09340209352	-0.136514760856	-0.24588204502	-0.0989724656643	0.0237824449679	0.070032058612	0.0647636775085	-0.0947303403579	-0.104316676067	-0.151173013142	-0.172551073787	-0.0713414490002	-0.19447106764	-0.297814863015	-0.153777684568	-0.403712343211	-0.118385494206	-0.160488803383	-0.0773152536215	-0.305976588248	-0.145379036239	-0.262495969763	-0.53733671196	-0.379813733843	-0.378622070386	-0.138824827906	-0.183261306035	-0.155832434677	-0.369830820169	-0.195712999641	-0.0974498469658	-0.14344945108	-0.255661950389	-0.211720907248	-0.135859238744	-0.0359893203885	-0.426180753492	-0.102280976651	-0.329027247318	-0.437114955631	-0.267859847944	-0.0759766808168	-0.100898808917	-0.127437252397	-0.0660515715803	-0.0796877583004	-0.537010666058	-0.132309400325	-0.135861557987	-0.188180255746	-0.176593297476	-0.370135860494	-0.0984405451731	0.0752133182036	-0.122497006893	-0.0531023458517
BCR	-0.390068682135	-0.304790699378	-0.133393246677	-0.430093855805	-0.421505340338	-0.0537100137154	-0.0448819891244	-0.051838540034	-0.0818338714488	-0.0968570214163	-0.526976689547	-0.202629391184	-0.0959878303453	-0.211046167148	-0.266302118649	-0.3156876934	-0.585291640439	-0.277213613191	-0.311964923978	-0.0766953362585	-0.195505791383	-0.121017811117	-0.210354906556	-0.083011576938	-0.130698402891	-0.390552732388	-0.340636363847	0.0975059327977	-0.219887952493	-0.27760152809	-0.0972830741246	0.0361286613649	-0.126501273058	-0.236190912546	-0.147999512538	-0.242127319147	-0.230190733005	-0.223232457848	-0.258309655903	-0.386399079614	0.0228997764033	-0.077978875503	-0.460696202043	-0.0573381288055	-0.365921276071	-0.509139033764	-0.201775233507	-0.411498742387	-0.325718205515	-0.229221348814	-0.412786128122	-0.157534353392	-0.182349272289	-0.256478253534	-0.244248608842	-0.229616284727	-0.12144319875	0.133415869803	-0.0855267023523	-0.202910652367	-0.0504283221158	0.071707247174	0.0775524323302	0.0874308112494	-0.045377528804	-0.0737135777753	-0.15395086356	-0.115079315638	-0.0373118669954	-0.129685639614	-0.28614968486	-0.056666224084	-0.445581082957	-0.126367068764	-0.11184805297	-0.0328206936207	-0.247597447868	-0.145880455979	-0.194752249946	-0.454705097494	-0.27347760249	-0.212683032963	-0.0424779604665	-0.146792331012	-0.0592758126881	-0.325930282941	-0.204762282203	-0.0535275368814	-0.13694374677	-0.217101326124	-0.180629117113	-0.0792832709886	0.0244552902872	-0.412140226295	-0.0496799389858	-0.300877314525	-0.438600226496	-0.265374091859	-0.0285727097725	-0.0591960176607	-0.0497190227537	-0.0182990108068	-0.0396778747044	-0.544004308564	-0.0730696443312	-0.0749472801737	-0.0811907459383	-0.128564361945	-0.380256636084	0.00264611268381	0.109187218421	-0.0475865102771	-0.00157689771343
BPGM	-0.365286156524	-0.411210893528	-0.252306522052	-0.465905745075	-0.417128714453	-0.227531597968	-0.150548905707	-0.0818338714488	-0.207198132571	-0.210450713531	-0.520919036533	-0.275553664569	-0.295574587682	-0.270585083934	-0.30086367472	-0.381851088828	-0.468911146141	-0.31661332791	-0.389594860183	-0.144659715182	-0.264629284864	-0.262090209668	-0.34111869824	-0.246716419757	-0.208324765292	-0.420216404799	-0.375851909162	-0.0209811880455	-0.251431822473	-0.419677624216	-0.181472843293	-0.0669002942807	-0.185738465142	-0.271244246438	-0.191601538926	-0.306016981084	-0.306196883129	-0.266806028056	-0.28074861931	-0.464446376391	-0.106901428717	-0.178001325428	-0.460919245488	-0.243508050102	-0.381093587213	-0.491477665714	-0.253431856322	-0.483605708234	-0.393315300968	-0.43242038173	-0.561477433335	-0.27479231579	-0.264371770676	-0.354483095147	-0.345041324755	-0.256507356907	-0.188171466726	0.020356922415	-0.219969616875	-0.304503792146	-0.194199117294	-0.0273158446428	-0.0183755293397	-0.00515818545915	-0.169836543649	-0.183607907665	-0.174577215481	-0.187228884753	-0.147697036216	-0.230717227276	-0.360999532259	-0.193112819859	-0.436009494894	-0.173453016311	-0.206139796495	-0.136163706825	-0.352946460322	-0.179435655461	-0.269064861632	-0.532062286574	-0.395612577869	-0.389887320637	-0.209014528362	-0.242366998831	-0.219963508302	-0.392836486182	-0.241564931047	-0.155234030025	-0.221005120601	-0.320693631512	-0.313504392489	-0.213471986516	-0.0768770461647	-0.46621447854	-0.12998595784	-0.371547964301	-0.460900929768	-0.250433227918	-0.152426483931	-0.221847552204	-0.229108502242	-0.130802767629	-0.127978380893	-0.584492462995	-0.184555307695	-0.224291145453	-0.280971226332	-0.24770733766	-0.453764185049	-0.21027987219	0.0223211063856	-0.170979493143	-0.119434670942
C19orf26	-0.414273298267	-0.400001654421	-0.251732119906	-0.547774447977	-0.486695452783	-0.222419301639	-0.139570855665	-0.0968570214163	-0.210450713531	-0.235751607525	-0.600083928296	-0.287997599395	-0.318523109741	-0.311636008537	-0.314561595198	-0.377363169287	-0.603419617018	-0.374054677425	-0.502569922006	-0.178061744528	-0.281696016997	-0.2877742351	-0.364723414538	-0.260555356209	-0.249457781211	-0.408298479448	-0.467476622187	-0.00631054617862	-0.304520682032	-0.500438826146	-0.214491353359	-0.0556670750151	-0.165568708669	-0.233233242718	-0.255739695054	-0.413435043869	-0.38254824002	-0.341202861829	-0.378023549099	-0.490855799956	-0.113449068884	-0.197066124288	-0.520625052898	-0.212522705025	-0.408248175809	-0.539120377228	-0.289990424533	-0.576411535169	-0.428848009208	-0.462624121362	-0.558914245763	-0.241544648154	-0.297057795875	-0.406262880634	-0.408008253401	-0.270395733116	-0.19719619477	-0.0751840827691	-0.219261632251	-0.286686492912	-0.193932357047	-0.0445104291799	-0.0133261067182	-0.0104980134942	-0.215654622953	-0.218826271073	-0.195106011268	-0.167688046295	-0.169291722286	-0.275633505523	-0.415983995012	-0.241062295706	-0.441764382441	-0.224133639465	-0.206228979614	-0.17221436719	-0.425557074318	-0.211657428264	-0.399558706144	-0.585476903971	-0.46114006004	-0.359273542316	-0.183723574605	-0.279883725705	-0.191217681375	-0.481994384366	-0.323541952031	-0.156018852464	-0.288397950038	-0.344892553462	-0.302762509196	-0.269797640969	-0.0925133330454	-0.518301366172	-0.115787554366	-0.494760028014	-0.487094505146	-0.285389142448	-0.186421736585	-0.267272845539	-0.276235541733	-0.154318353399	-0.136772021711	-0.569947265446	-0.213853249369	-0.208861202592	-0.251208799566	-0.251125847224	-0.560706849414	-0.202110255954	0.0568524214066	-0.212693685658	-0.12552208331
